CASRN,List,ATMOSPHERIC_HYDROXYLATION_RATE_.AOH._CM3.MOLECULE.SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM.M3.MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L.KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL.L_OPERA_PRED
824-78-2,Pesticides,1.16E-12,11.3561,4.0957,278.91,4.21E-10,0.251436,6.11321,233.12,-1.51785,96.2665,9.97E-05,0.0967929
35153-18-5,Pesticides,8.05E-11,1457.03,5.343,295.795,2.07E-05,0.54764,9.08201,1528.68,5.5872,23.3782,9.57E-05,1.76E-05
34010-15-6,Pesticides,8.05E-11,1457.03,5.343,295.795,2.07E-05,0.54764,9.08201,1528.68,5.5872,23.3782,9.57E-05,1.76E-05
85977-73-7,Pesticides,9.44E-11,32.1081,50.429,407.827,4.01E-09,2.32836,10.7608,848.897,3.37205,143.873,9.54E-09,1.27E-05
593-50-0,Pesticides,1.19E-11,54.7698,176.37,432.486,5.48E-08,0.622753,10.2525,10125.4,8.25796,87.6212,9.51E-11,9.79E-08
35153-15-2,Pesticides,8.05E-11,837.349,4.61624,295.797,2.07E-05,0.548048,9.08201,1529.52,5.58103,19.2008,9.48E-05,1.11E-05
110-27-0,Pesticides,1.73E-11,796.676,5.69054,292.409,7.59E-07,0.866433,8.20837,2504.28,6.90324,3.29851,9.36E-05,5.19E-08
592-88-1,Pesticides,7.35E-11,13.0522,5.85566,138.65,0.00349777,0.437104,3.78196,183.117,2.28721,-84.9401,9.23285,0.00855522
69-72-7,Pesticides,3.64E-12,4.16166,4.0765,255.158,8.80E-08,0.101332,7.4432,37.6361,2.26129,158.065,8.14E-05,0.107225
108175-15-1,Pesticides,1.46E-11,2.83773,3.53708,313.311,1.64E-11,0.322571,9.46979,537.186,0.17075,158.211,7.47E-11,0.375582
67233-85-6,Pesticides,1.71E-12,10.0976,3.54706,271.438,6.42E-08,0.124592,7.5883,194.904,0.0539201,109.09,7.42E-06,0.00956623
125-67-7,Pesticides,1.18E-10,4.76259,149.305,387.795,1.93E-11,0.296003,9.29628,39069.9,-1.03351,227.167,7.26E-10,0.0136008
65733-20-2,Pesticides,1.04E-10,738.679,4.6528,320.332,9.59E-07,0.867405,8.41416,1403.92,5.81761,20.3358,7.22E-06,3.78E-06
42588-37-4,Pesticides,1.04E-10,738.679,4.6528,320.332,9.59E-07,0.867405,8.41416,1403.92,5.81761,20.3358,7.22E-06,3.78E-06
72962-43-7,Pesticides,2.48E-11,36.0111,164.231,380.575,2.09E-11,0.631755,9.45338,137844,2.10133,238.138,6.89E-10,0.000113357
52207-99-5,Pesticides,1.38E-10,515.714,5.72342,339.065,2.97E-07,0.867136,8.9551,2506.16,6.83234,-24.5004,6.88E-06,1.03E-06
53042-79-8,Pesticides,1.38E-10,515.714,5.72342,339.065,2.97E-07,0.867136,8.9551,2506.16,6.83234,-24.5004,6.88E-06,1.03E-06
146659-78-1,Pesticides,4.51E-11,2.25248,6.45538,335.363,2.46E-11,0.143126,9.60018,53.2252,-2.08765,200.759,6.67E-11,0.0677504
2465-59-0,Pesticides,8.88E-12,2.46451,3.52918,257.484,1.85E-09,0.10917,8.32341,151.016,-1.42911,187.413,5.94E-09,0.00330385
57-50-1,Pesticides,1.65E-11,2.13722,4.65877,313.105,2.22E-11,0.143659,9.56621,41.4259,-3.69895,185.507,5.43E-11,6.10813
86252-74-6,Pesticides,1.39E-10,829.751,5.7334,354.653,2.62E-07,0.894443,9.37085,6854.17,7.40166,-24.3975,5.05E-06,3.86E-06
53120-26-6,Pesticides,1.15E-10,827.461,5.73218,354.653,2.62E-07,0.891472,9.37085,6844.35,7.2959,-24.3975,5.04E-06,3.29E-06
53120-27-7,Pesticides,1.15E-10,827.461,5.73218,354.653,2.62E-07,0.891472,9.37085,6844.35,7.2959,-24.3975,5.04E-06,3.29E-06
109-79-5,Pesticides,5.06E-11,7.03536,4.76369,98.3744,0.00454176,0.367666,2.81356,28.083,2.27861,-116.102,45.7022,0.00663091
69-89-6,Pesticides,3.30E-12,2.46659,3.53721,257.479,1.84E-09,0.109266,9.19728,150.566,-0.72946,188.707,4.59E-09,0.000468322
404-86-4,Pesticides,6.17E-11,13.385,3.34798,318.653,9.91E-10,0.189965,9.30531,764.258,3.34895,65.1743,4.22E-10,3.39E-05
110-89-4,Pesticides,2.84E-11,4.15036,6.87244,106.086,4.46E-06,0.0929402,4.05617,15.6101,0.839617,-7.10379,32.0198,11.6546
57-06-7,Pesticides,4.35E-11,6.93329,3.99177,152.011,9.57E-06,0.0990062,2.25988,19.5071,1.14149,-79.815,3.71715,0.020338
27519-02-4,Pesticides,9.78E-11,247.988,17.2279,378.036,3.53E-07,13.1811,10.2611,10158.7,9.45152,-74.6665,3.49E-05,3.44E-09
